City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Hobart,AU,2021-04-11 09:17:50,-42.8794,147.3294,48.2,71,75,13.8,broken clouds,0.0,0
1,Batagay-Alyta,RU,2021-04-11 09:17:51,67.8006,130.4114,3.43,75,0,1.9,clear sky,0.0,0
2,Tiksi,RU,2021-04-11 09:17:51,71.6872,128.8694,-1.08,90,56,6.04,broken clouds,0.0,0
3,Rosarito,MX,2021-04-11 09:14:19,32.3333,-117.0333,55.99,76,75,1.57,broken clouds,0.0,0
4,Kodiak,US,2021-04-11 09:17:51,57.79,-152.4072,33.8,86,90,5.75,light rain,0.25,0
5,Yellowknife,CA,2021-04-11 09:14:13,62.456,-114.3525,-7.01,71,1,8.05,clear sky,0.0,0
6,Leningradskiy,RU,2021-04-11 09:17:52,69.3833,178.4167,-18.72,99,67,5.5,broken clouds,0.0,0
7,Namatanai,PG,2021-04-11 09:17:52,-3.6667,152.4333,77.92,89,100,4.83,heavy intensity rain,0.0,0
8,College,US,2021-04-11 09:17:53,64.8569,-147.8028,-0.4,64,20,3.44,few clouds,0.0,0
9,Hovd,MN,2021-04-11 09:17:53,48.0056,91.6419,39.27,27,99,7.07,overcast clouds,0.0,0
10,Santa Cruz,BO,2021-04-11 09:15:03,-17.8,-63.1667,73.4,94,75,11.5,broken clouds,0.0,0
11,Barrow,US,2021-04-11 09:17:54,71.2906,-156.7887,-14.8,76,1,3.22,clear sky,0.0,0
12,Bredasdorp,ZA,2021-04-11 09:17:54,-34.5322,20.0403,73.4,60,100,8.05,overcast clouds,0.0,0
13,Ushuaia,AR,2021-04-11 09:15:21,-54.8,-68.3,44.6,57,20,23.02,few clouds,0.0,0
14,Iralaya,HN,2021-04-11 09:17:54,15.0,-83.2333,78.89,85,99,9.73,overcast clouds,0.0,0
15,Atuona,PF,2021-04-11 09:17:55,-9.8,-139.0333,80.2,75,44,15.68,scattered clouds,0.0,0
16,Ilulissat,GL,2021-04-11 09:17:55,69.2167,-51.1,19.4,63,100,1.14,overcast clouds,0.0,0
17,Vaini,TO,2021-04-11 09:17:55,-21.2,-175.2,73.4,88,40,4.61,scattered clouds,0.0,0
18,Donskoye,RU,2021-04-11 09:17:56,45.4552,41.9741,44.6,87,90,6.71,light rain,0.0,0
19,Bhim Tal,IN,2021-04-11 09:17:56,29.35,79.5667,82.54,5,2,9.78,clear sky,0.0,0
20,Hermanus,ZA,2021-04-11 09:17:56,-34.4187,19.2345,72.0,68,100,4.68,overcast clouds,0.0,0
21,Rikitea,PF,2021-04-11 09:17:57,-23.1203,-134.9692,78.21,77,3,12.71,light rain,0.0,0
22,Port Alfred,ZA,2021-04-11 09:17:57,-33.5906,26.891,74.79,74,93,5.59,overcast clouds,0.0,0
23,Mount Gambier,AU,2021-04-11 09:17:57,-37.8333,140.7667,53.6,82,90,8.05,overcast clouds,0.0,0
24,Tuatapere,NZ,2021-04-11 09:17:58,-46.1333,167.6833,51.01,90,28,1.01,scattered clouds,0.0,0
25,Lavrentiya,RU,2021-04-11 09:17:58,65.5833,-171.0,1.92,73,100,24.45,overcast clouds,0.0,0
26,Maragogi,BR,2021-04-11 09:17:58,-9.0122,-35.2225,76.12,89,79,3.04,moderate rain,0.0,0
27,Ascension,US,2021-04-11 09:17:59,30.2169,-90.9001,69.8,88,90,5.75,overcast clouds,0.0,0
28,Brainerd,US,2021-04-11 09:17:59,46.358,-94.2008,37.99,93,90,6.91,overcast clouds,0.0,0
29,Tuktoyaktuk,CA,2021-04-11 09:17:59,69.4541,-133.0374,-17.25,97,16,9.08,few clouds,0.0,0
30,Maumere,ID,2021-04-11 09:18:00,-8.6199,122.2111,83.7,70,26,3.44,scattered clouds,0.0,0
31,Mayo,US,2021-04-11 09:18:00,38.8876,-76.5119,60.8,100,90,10.36,light rain,0.0,0
32,Gamba,GA,2021-04-11 09:18:01,-2.65,10.0,80.98,78,100,4.88,overcast clouds,0.0,0
33,Saint-Leu,RE,2021-04-11 09:18:01,-21.15,55.2833,84.2,70,75,8.05,light rain,0.0,0
34,Mittagong,AU,2021-04-11 09:18:01,-34.45,150.45,59.0,50,4,1.01,clear sky,0.0,0
35,Saint-Francois,FR,2021-04-11 09:18:01,46.4154,3.9054,51.01,93,90,3.44,light rain,0.0,0
36,Auckland,NZ,2021-04-11 09:15:00,-36.8667,174.7667,64.99,91,25,5.01,scattered clouds,0.0,0
37,Port Macquarie,AU,2021-04-11 09:18:02,-31.4333,152.9167,62.01,46,2,10.47,clear sky,0.0,0
38,Clyde River,CA,2021-04-11 09:18:02,70.4692,-68.5914,23.0,93,90,25.32,light snow,0.0,0
39,Mataura,NZ,2021-04-11 09:18:03,-46.1927,168.8643,51.01,90,51,1.01,broken clouds,0.0,0
40,Jamestown,US,2021-04-11 09:15:38,42.097,-79.2353,57.0,94,90,8.05,light rain,0.0,0
41,Mount Isa,AU,2021-04-11 09:18:03,-20.7333,139.5,80.6,18,0,14.97,clear sky,0.0,0
42,Miri,MY,2021-04-11 09:13:20,4.4148,114.0089,86.0,70,40,8.05,moderate rain,0.0,0
43,Carutapera,BR,2021-04-11 09:18:04,-1.195,-46.02,75.13,93,100,5.23,overcast clouds,0.0,0
44,Sioux Lookout,CA,2021-04-11 09:18:04,50.1001,-91.917,35.6,93,90,4.61,light intensity drizzle,0.0,0
45,Butaritari,KI,2021-04-11 09:18:05,3.0707,172.7902,81.91,77,80,9.31,broken clouds,0.0,0
46,Mar Del Plata,AR,2021-04-11 09:15:23,-38.0023,-57.5575,61.0,88,90,32.21,moderate rain,0.0,0
47,Kapaa,US,2021-04-11 09:18:05,22.0752,-159.319,68.0,77,1,4.61,clear sky,0.0,0
48,Dikson,RU,2021-04-11 09:18:05,73.5069,80.5464,32.05,93,100,23.94,overcast clouds,0.0,0
49,Qaqortoq,GL,2021-04-11 09:18:06,60.7167,-46.0333,32.0,74,8,1.14,clear sky,0.0,0
50,Guhagar,IN,2021-04-11 09:18:06,17.4842,73.1929,92.46,45,7,11.68,clear sky,0.0,0
51,Puerto Ayora,EC,2021-04-11 09:18:06,-0.7393,-90.3518,74.08,89,90,2.66,overcast clouds,0.0,0
52,Port-Gentil,GA,2021-04-11 09:18:07,-0.7193,8.7815,86.0,70,40,3.44,moderate rain,0.0,0
53,Busselton,AU,2021-04-11 09:18:07,-33.65,115.3333,60.01,96,100,1.99,moderate rain,0.0,0
54,Upernavik,GL,2021-04-11 09:18:08,72.7868,-56.1549,15.91,80,100,7.56,overcast clouds,0.0,0
55,Hithadhoo,MV,2021-04-11 09:18:08,-0.6,73.0833,83.37,73,52,11.1,broken clouds,0.0,0
56,Mahajanga,MG,2021-04-11 09:18:08,-15.7167,46.3167,87.8,58,20,8.05,few clouds,0.0,0
57,Ugoofaaru,MV,2021-04-11 09:18:09,5.6667,73.0,83.52,68,8,3.13,clear sky,0.0,0
58,Kahului,US,2021-04-11 09:18:09,20.8947,-156.47,66.2,82,1,4.23,clear sky,0.0,0
59,Hasaki,JP,2021-04-11 09:18:09,35.7333,140.8333,57.0,62,20,6.91,few clouds,0.0,0
60,Arraial Do Cabo,BR,2021-04-11 09:18:10,-22.9661,-42.0278,69.8,88,0,5.75,clear sky,0.0,0
61,Hambantota,LK,2021-04-11 09:18:10,6.1241,81.1185,89.6,66,40,8.05,scattered clouds,0.0,0
62,Mastic Beach,US,2021-04-11 09:18:10,40.7668,-72.8521,55.4,94,90,3.8,fog,0.0,0
63,Khao Yoi,TH,2021-04-11 09:18:11,13.2403,99.8243,93.0,74,20,10.36,few clouds,0.0,0
64,Benalla,AU,2021-04-11 09:18:11,-36.55,145.9833,50.0,66,75,5.75,broken clouds,0.0,0
65,Khatanga,RU,2021-04-11 09:18:11,71.9667,102.5,31.62,90,98,11.43,overcast clouds,0.0,0
66,Bluff,NZ,2021-04-11 09:18:12,-46.6,168.3333,51.01,90,9,1.01,clear sky,0.0,0
67,Avarua,CK,2021-04-11 09:18:12,-21.2078,-159.775,75.2,100,40,1.14,scattered clouds,0.0,0
68,Lebu,CL,2021-04-11 09:18:13,-37.6167,-73.65,49.82,79,0,7.34,clear sky,0.0,0
69,Souillac,MU,2021-04-11 09:18:13,-20.5167,57.5167,82.4,78,75,13.8,light rain,0.0,0
70,Mahebourg,MU,2021-04-11 09:18:13,-20.4081,57.7,82.4,78,75,13.8,light rain,0.0,0
71,Aklavik,CA,2021-04-11 09:18:13,68.2191,-135.0107,-7.6,59,7,5.75,clear sky,0.0,0
72,Tikapur,NP,2021-04-11 09:13:17,28.5,81.1333,102.42,3,0,8.77,clear sky,0.0,0
73,Ancud,CL,2021-04-11 09:14:15,-41.8697,-73.8203,53.01,100,90,13.8,moderate rain,0.0,0
74,Codrington,AU,2021-04-11 09:18:14,-38.2667,141.9667,54.61,64,100,15.86,overcast clouds,0.0,0
75,Sarkand,KZ,2021-04-11 09:18:14,45.41,79.9186,61.97,30,0,8.61,clear sky,0.0,0
76,Trelew,AR,2021-04-11 09:18:15,-43.249,-65.3051,57.29,49,2,12.3,clear sky,0.0,0
77,Praia Da Vitoria,PT,2021-04-11 09:18:15,38.7333,-27.0667,60.8,94,75,11.61,broken clouds,0.0,0
78,Norman Wells,CA,2021-04-11 09:18:15,65.282,-126.8329,-25.6,68,20,2.3,few clouds,0.0,0
79,Saint-Philippe,RE,2021-04-11 09:18:16,-21.3585,55.7679,84.2,70,75,8.05,light rain,0.0,0
80,Bagdarin,RU,2021-04-11 09:18:16,54.4333,113.6,22.48,32,99,10.74,overcast clouds,0.0,0
81,Port Keats,AU,2021-04-11 09:16:12,-14.25,129.55,84.31,73,95,6.51,overcast clouds,0.0,0
82,Qaanaaq,GL,2021-04-11 09:18:17,77.484,-69.3632,13.57,79,100,10.33,overcast clouds,0.0,0
83,Nieuw Amsterdam,SR,2021-04-11 09:18:17,5.8833,-55.0833,75.99,94,40,4.45,light rain,0.0,0
84,Apastovo,RU,2021-04-11 09:18:17,55.2029,48.5109,39.2,87,90,6.71,light rain,0.0,0
85,Parker,US,2021-04-11 09:18:18,32.7668,-97.8003,55.99,72,0,7.63,clear sky,0.0,0
86,New Norfolk,AU,2021-04-11 09:18:18,-42.7826,147.0587,46.99,77,97,3.0,overcast clouds,0.0,0
87,Sinnamary,GF,2021-04-11 09:18:18,5.3833,-52.95,74.91,95,100,10.02,overcast clouds,0.0,0
88,Albany,US,2021-04-11 09:15:05,42.6001,-73.9662,57.99,77,100,2.62,overcast clouds,0.0,0
89,Itacarambi,BR,2021-04-11 09:18:19,-15.1022,-44.0919,65.07,76,24,2.33,few clouds,0.0,0
90,Krasne,UA,2021-04-11 09:18:19,49.9145,24.6134,60.8,29,0,11.18,clear sky,0.0,0
91,General Pico,AR,2021-04-11 09:17:36,-35.6566,-63.7568,50.65,95,2,10.18,clear sky,0.0,0
92,Kaitangata,NZ,2021-04-11 09:18:20,-46.2817,169.8464,52.81,97,65,3.8,broken clouds,0.0,0
93,Tairua,NZ,2021-04-11 09:18:20,-37.0167,175.85,66.0,92,45,3.0,scattered clouds,0.0,0
94,Nanortalik,GL,2021-04-11 09:18:20,60.1432,-45.2371,34.54,74,8,11.12,clear sky,0.0,0
95,Kyabe,TD,2021-04-11 09:18:21,9.4515,18.9449,98.58,6,16,7.9,few clouds,0.0,0
96,Garut,ID,2021-04-11 09:18:21,-7.2024,107.8878,79.0,69,94,1.01,heavy intensity rain,0.0,0
97,Carnarvon,AU,2021-04-11 09:18:21,-24.8667,113.6333,78.8,100,75,26.46,broken clouds,0.0,0
98,Georgetown,MY,2021-04-11 09:18:22,5.4112,100.3354,89.6,70,20,8.05,few clouds,0.0,0
99,Nezhinka,RU,2021-04-11 09:18:22,51.7676,55.3694,59.0,51,0,15.66,clear sky,0.0,0
100,Tasiilaq,GL,2021-04-11 09:18:22,65.6145,-37.6368,24.8,58,0,2.3,clear sky,0.0,0
101,Emerald,AU,2021-04-11 09:18:23,-23.5333,148.1667,82.4,30,21,6.91,few clouds,0.0,0
102,Zambezi,ZM,2021-04-11 09:18:23,-13.5432,23.1047,77.45,40,1,11.32,clear sky,0.0,0
103,Ahipara,NZ,2021-04-11 09:18:23,-35.1667,173.1667,63.68,89,14,4.29,few clouds,0.0,0
104,Ponta Delgada,PT,2021-04-11 09:18:24,37.7333,-25.6667,62.6,94,40,8.05,scattered clouds,0.0,0
105,Punta Arenas,CL,2021-04-11 09:18:24,-53.15,-70.9167,44.6,76,75,14.97,broken clouds,0.0,0
106,Ribeira Grande,PT,2021-04-11 09:18:24,38.5167,-28.7,60.8,94,75,9.22,broken clouds,0.0,0
107,Itiuba,BR,2021-04-11 09:18:25,-10.6917,-39.8536,68.88,92,93,5.5,overcast clouds,0.0,0
108,Lorengau,PG,2021-04-11 09:18:25,-2.0226,147.2712,81.95,81,100,14.38,overcast clouds,0.0,0
109,Sulangan,PH,2021-04-11 09:18:25,11.1373,123.7228,84.2,72,28,14.47,scattered clouds,0.0,0
110,Gat,IL,2021-04-11 09:18:26,31.61,34.7642,64.99,55,8,1.99,clear sky,0.0,0
111,Makakilo City,US,2021-04-11 09:18:26,21.3469,-158.0858,71.6,60,75,6.91,broken clouds,0.0,0
112,Laurel,US,2021-04-11 09:18:26,39.0993,-76.8483,59.0,100,90,5.75,overcast clouds,0.0,0
113,Beeville,US,2021-04-11 09:18:27,28.4008,-97.7483,64.4,42,1,9.22,clear sky,0.0,0
114,Hilo,US,2021-04-11 09:18:27,19.7297,-155.09,69.8,68,90,3.44,overcast clouds,0.0,0
115,Storslett,NO,2021-04-11 09:18:27,69.7678,21.0247,33.37,94,100,21.83,light snow,0.0,0
116,Naze,JP,2021-04-11 09:18:28,28.3667,129.4833,69.8,68,40,19.57,scattered clouds,0.0,0
117,Jackson,US,2021-04-11 09:15:32,42.4165,-122.8345,39.2,70,1,1.57,clear sky,0.0,0
118,Hualmay,PE,2021-04-11 09:18:28,-11.0964,-77.6139,68.18,89,89,6.29,overcast clouds,0.0,0
119,Pangnirtung,CA,2021-04-11 09:18:29,66.1451,-65.7125,23.09,59,100,6.2,overcast clouds,0.0,0
120,Tezu,IN,2021-04-11 09:18:29,27.9167,96.1667,94.3,18,41,5.26,scattered clouds,0.0,0
121,Akyab,MM,2021-04-11 09:18:29,20.15,92.9,85.28,66,44,17.58,scattered clouds,0.0,0
122,San Patricio,US,2021-04-11 09:18:30,28.017,-97.5169,66.2,67,20,10.36,few clouds,0.0,0
123,Port Lincoln,AU,2021-04-11 09:18:30,-34.7333,135.8667,59.43,60,70,10.02,broken clouds,0.0,0
124,Karla,EE,2021-04-11 09:18:30,59.3723,24.9275,46.4,49,0,9.22,clear sky,0.0,0
125,Rudnya,RU,2021-04-11 09:18:31,54.947,31.0934,53.6,43,0,8.95,clear sky,0.0,0
126,Kirishi,RU,2021-04-11 09:18:31,59.4471,32.0205,48.99,1,1,8.08,clear sky,0.0,0
127,Zhigansk,RU,2021-04-11 09:18:31,66.7697,123.3711,17.31,85,6,18.54,clear sky,0.0,0
128,Tikrit,IQ,2021-04-11 09:18:32,34.6071,43.6782,70.27,24,0,12.75,clear sky,0.0,0
129,Boguchany,RU,2021-04-11 09:18:32,58.3814,97.4531,36.77,72,100,9.1,overcast clouds,0.0,0
130,Vao,NC,2021-04-11 09:18:32,-22.6667,167.4833,76.39,84,84,11.74,broken clouds,0.0,0
131,Agadez,NE,2021-04-11 09:18:33,19.75,10.25,92.12,4,0,1.99,clear sky,0.0,0
132,Cherskiy,RU,2021-04-11 09:18:33,68.75,161.3,-16.55,99,59,4.09,broken clouds,0.0,0
133,Huittinen,FI,2021-04-11 09:18:33,61.1833,22.7,44.01,42,0,8.05,clear sky,0.0,0
134,Yamada,JP,2021-04-11 09:18:34,39.4667,141.95,44.74,53,5,4.32,clear sky,0.0,0
135,Nanakuli,US,2021-04-11 09:18:34,21.3906,-158.1547,71.6,60,75,6.91,broken clouds,0.0,0
136,Westport,US,2021-04-11 09:18:34,41.1415,-73.3579,54.0,100,90,1.66,fog,0.0,0
137,San Luis,AR,2021-04-11 09:18:35,-33.295,-66.3356,44.01,90,6,5.95,clear sky,0.0,0
138,Boa Vista,BR,2021-04-11 09:18:35,2.8197,-60.6733,73.4,88,90,13.8,heavy intensity rain,0.0,0
139,Faanui,PF,2021-04-11 09:18:35,-16.4833,-151.75,82.44,72,74,10.16,broken clouds,0.0,0
140,Bambous Virieux,MU,2021-04-11 09:18:36,-20.3428,57.7575,82.99,78,75,13.8,light rain,0.0,0
141,Camargo,MX,2021-04-11 09:18:36,27.6667,-105.1667,66.96,22,86,9.06,overcast clouds,0.0,0
142,Okhotsk,RU,2021-04-11 09:18:36,59.3833,143.3,20.98,93,100,18.9,snow,0.0,0
143,Peno,RU,2021-04-11 09:18:37,56.9262,32.7426,46.8,79,98,3.76,light rain,0.0,0
144,Samarai,PG,2021-04-11 09:18:37,-10.6167,150.6667,80.89,69,57,11.5,broken clouds,0.0,0
145,Bay Roberts,CA,2021-04-11 09:18:37,47.5999,-53.2648,34.0,93,90,2.3,light rain,0.0,0
146,Airai,TL,2021-04-11 09:18:38,-8.9266,125.4092,64.78,89,37,1.28,scattered clouds,0.0,0
147,Lagoa,PT,2021-04-11 09:18:38,39.05,-27.9833,60.87,93,100,10.0,overcast clouds,0.0,0
148,Muroto,JP,2021-04-11 09:18:38,33.2833,134.15,62.6,48,40,4.61,scattered clouds,0.0,0
149,Lahat,ID,2021-04-11 09:18:39,-3.8,103.5333,84.2,80,44,1.99,scattered clouds,0.0,0
150,Oliver,CA,2021-04-11 09:18:39,49.1831,-119.5524,33.8,51,11,2.26,few clouds,0.0,0
151,Tilichiki,RU,2021-04-11 09:18:39,60.4667,166.1,10.58,74,83,19.71,broken clouds,0.0,0
152,Polonnaruwa,LK,2021-04-11 09:18:40,7.9333,81.0,92.53,44,65,7.31,broken clouds,0.0,0
153,Port Elizabeth,ZA,2021-04-11 09:18:40,-33.918,25.5701,73.4,56,0,12.66,clear sky,0.0,0
154,Thap Than,TH,2021-04-11 09:18:40,15.4606,99.8917,95.0,56,94,2.71,overcast clouds,0.0,0
155,Clinton,US,2021-04-11 09:14:36,42.587,-82.9199,55.99,100,90,6.91,overcast clouds,0.0,0
156,Chihuahua,MX,2021-04-11 09:18:19,28.5,-106.0,61.88,27,99,3.29,overcast clouds,0.0,0
157,Robertsport,LR,2021-04-11 09:18:41,6.7533,-11.3686,81.46,81,100,7.0,overcast clouds,0.0,0
158,Polignano A Mare,IT,2021-04-11 09:18:41,40.9959,17.2159,63.0,88,40,20.71,scattered clouds,0.0,0
159,Havre-Saint-Pierre,CA,2021-04-11 09:18:42,50.2334,-63.5986,39.2,93,90,10.36,mist,0.0,0
160,Sao Filipe,CV,2021-04-11 09:18:42,14.8961,-24.4956,75.11,64,0,3.96,clear sky,0.0,0
161,Lubao,PH,2021-04-11 09:18:42,14.9167,120.55,93.2,40,40,11.5,scattered clouds,0.0,0
162,Coquimbo,CL,2021-04-11 09:18:43,-29.9533,-71.3436,53.6,82,0,2.3,clear sky,0.0,0
163,Esperance,AU,2021-04-11 09:18:43,-33.8667,121.9,66.2,59,90,10.36,light rain,0.0,0
164,Cape Town,ZA,2021-04-11 09:16:24,-33.9258,18.4232,71.01,73,20,18.41,few clouds,0.0,0
165,Puerto Del Rosario,ES,2021-04-11 09:18:43,28.5004,-13.8627,68.0,73,20,11.5,few clouds,0.0,0
166,Lapeer,US,2021-04-11 09:17:35,43.0514,-83.3188,53.6,100,90,3.44,overcast clouds,0.0,0
