City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Apastovo,RU,39.2,light rain,55.2029,48.5109,Avtovokzal
85,Parker,US,55.99,clear sky,32.7668,-97.8003,Candlewood Suites Weatherford
86,New Norfolk,AU,46.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
87,Sinnamary,GF,74.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Itacarambi,BR,65.07,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
90,Krasne,UA,60.8,clear sky,49.9145,24.6134,Feniks
91,General Pico,AR,50.65,clear sky,-35.6566,-63.7568,Hotel Malargue
92,Kaitangata,NZ,52.81,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
93,Tairua,NZ,66.0,scattered clouds,-37.0167,175.85,Pacific Harbour Villas
94,Nanortalik,GL,34.54,clear sky,60.1432,-45.2371,Hotel Kap Farvel
96,Garut,ID,79.0,heavy intensity rain,-7.2024,107.8878,favehotel
97,Carnarvon,AU,78.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
98,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
99,Nezhinka,RU,59.0,clear sky,51.7676,55.3694,"Extreme Park, Holiday Village"
100,Tasiilaq,GL,24.8,clear sky,65.6145,-37.6368,The Red House
101,Emerald,AU,82.4,few clouds,-23.5333,148.1667,The Irish Village
102,Zambezi,ZM,77.45,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
103,Ahipara,NZ,63.68,few clouds,-35.1667,173.1667,Ahipara Holiday Park
104,Ponta Delgada,PT,62.6,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
105,Punta Arenas,CL,44.6,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
106,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
107,Itiuba,BR,68.88,overcast clouds,-10.6917,-39.8536,PRÉDIO SOUSA MOTOS
108,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Sulangan,PH,84.2,scattered clouds,11.1373,123.7228,Maia's Beach Resort
110,Gat,IL,64.99,clear sky,31.61,34.7642,OlusHome
111,Makakilo City,US,71.6,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Laurel,US,59.0,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
113,Beeville,US,64.4,clear sky,28.4008,-97.7483,Holiday Inn Express & Suites Beeville
114,Hilo,US,69.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Storslett,NO,33.37,light snow,69.7678,21.0247,Reisafjord Hotel AS
116,Naze,JP,69.8,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
117,Jackson,US,39.2,clear sky,42.4165,-122.8345,Agate Village Apartments
118,Hualmay,PE,68.18,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
119,Pangnirtung,CA,23.09,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
120,Tezu,IN,94.3,scattered clouds,27.9167,96.1667,Circuit House
121,Akyab,MM,85.28,scattered clouds,20.15,92.9,Hotel Memory
122,San Patricio,US,66.2,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
123,Port Lincoln,AU,59.43,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
124,Karla,EE,46.4,clear sky,59.3723,24.9275,River Villa
125,Rudnya,RU,53.6,clear sky,54.946999999999996,31.0934,Paradoks
126,Kirishi,RU,48.99,clear sky,59.4471,32.0205,Sportivnaya
127,Zhigansk,RU,17.31,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
128,Tikrit,IQ,70.27,clear sky,34.6071,43.6782,فندق تكريت بلازا
129,Boguchany,RU,36.77,overcast clouds,58.3814,97.4531,Uyut
130,Vao,NC,76.39,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
133,Huittinen,FI,44.01,clear sky,61.1833,22.7,Mommolan Motelli
134,Yamada,JP,44.74,clear sky,39.4667,141.95,Iroha-ya Inn
135,Nanakuli,US,71.6,broken clouds,21.3906,-158.1547,Camp Pālehua
136,Westport,US,54.0,fog,41.1415,-73.3579,The Westport Inn
